sub,condition,ori_a,ori_b,ori_c,ori_to_report_convt,ori_resp,angle_diff,ori_to_report_de_convt,ori_resp_de,angle_diff_de,loc_a,loc_b,loc_c,cue_probe,block,allerror,allerror_de,pmi_ori,imi_ori,c_ori,abs_angle_diff,abs_angle_diff_de,badtrial,debadtrial
1,1,26,68,117,-27,-19.49238975513,7.507610244870001,7,9.943398410000981,2.943398410000981,2,3,3,3,1,7.507610244870001,2.943398410000981,64.0,22.0,-27.0,7.507610244870001,2.943398410000981,,
1,1,89,1,21,69,62.8205317080426,-6.179468291957399,40,45.572116221166404,5.572116221166404,5,3,3,3,1,-6.179468291957399,5.572116221166404,1.0,89.0,69.0,6.179468291957399,5.572116221166404,,
1,1,151,31,138,-48,-51.17329884268298,-3.173298842682982,25,25.0043486270133,0.004348627013300188,2,4,4,3,1,-3.173298842682982,0.004348627013300188,-61.0,59.0,-48.0,3.173298842682982,0.004348627013300188,,
1,1,14,105,166,76,75.9688947522494,-0.031105247750602416,59,60.079985278576004,1.0799852785760038,3,5,5,1,1,-0.031105247750602416,1.0799852785760038,76.0,-15.0,-76.0,0.031105247750602416,1.0799852785760038,,
1,1,167,74,128,-77,-71.856381931167,5.143618068833007,36,32.77693128866989,-3.2230687113301073,3,4,4,1,1,5.143618068833007,-3.2230687113301073,-77.0,16.0,-38.0,5.143618068833007,3.2230687113301073,,
1,1,63,44,139,27,31.9914350142228,4.991435014222802,-6,-9.456896599792689,-3.456896599792689,1,5,5,1,1,4.991435014222802,-3.456896599792689,27.0,46.0,-49.0,4.991435014222802,3.456896599792689,,
1,1,36,142,124,-34,-47.798507394382995,-13.798507394382995,-77,-77.245414395023,-0.24541439502300477,1,2,2,3,1,-13.798507394382995,-0.24541439502300477,54.0,-52.0,-34.0,13.798507394382995,0.24541439502300477,,
1,1,177,52,173,-87,85.2100313572668,-7.789968642733186,62,62.4324730548911,0.4324730548910978,1,3,3,1,1,-7.789968642733186,0.4324730548910978,-87.0,38.0,-83.0,7.789968642733186,0.4324730548910978,,
1,1,15,107,131,75,72.116444788486,-2.8835552115139933,68,65.3409375028241,-2.6590624971758956,1,2,2,1,1,-2.8835552115139933,-2.6590624971758956,75.0,-17.0,-41.0,2.8835552115139933,2.6590624971758956,,
1,1,30,67,5,60,65.574556666952,5.574556666952006,3,7.314802240717995,4.314802240717995,2,3,3,1,1,5.574556666952006,4.314802240717995,60.0,23.0,85.0,5.574556666952006,4.314802240717995,,
1,1,112,107,110,-22,-18.894205009719997,3.1057949902800033,77,73.6262705445571,-3.3737294554428985,2,1,1,1,1,3.1057949902800033,-3.3737294554428985,-22.0,-17.0,-20.0,3.1057949902800033,3.3737294554428985,,
1,1,15,70,111,75,77.2700427685042,2.2700427685041973,41,41.6667717664455,0.6667717664454997,4,5,5,1,1,2.2700427685041973,0.6667717664454997,75.0,20.0,-21.0,2.2700427685041973,0.6667717664454997,,
1,1,86,129,72,18,36.32915645441798,18.329156454417983,35,32.0441547822871,-2.9558452177128984,3,6,6,3,1,18.329156454417983,-2.9558452177128984,4.0,-39.0,18.0,18.329156454417983,2.9558452177128984,,
1,1,114,137,126,-36,-33.937663909174006,2.062336090825994,-19,-21.226192900538102,-2.226192900538102,2,4,4,3,1,2.062336090825994,-2.226192900538102,-24.0,-47.0,-36.0,2.062336090825994,2.226192900538102,,
1,1,148,54,135,-58,36.2811933862601,-85.7188066137399,-46,-54.215640452854004,-8.215640452854004,4,2,2,1,1,-85.7188066137399,-8.215640452854004,-58.0,36.0,-45.0,85.7188066137399,8.215640452854004,True,True
1,1,19,168,18,71,63.5491881863446,-7.450811813655399,31,32.5595423550601,1.5595423550601026,5,1,1,1,1,-7.450811813655399,1.5595423550601026,71.0,-78.0,72.0,7.450811813655399,1.5595423550601026,,
1,1,97,56,105,-15,-17.291767501803008,-2.291767501803008,47,51.538655248677,4.538655248677003,1,2,2,3,1,-2.291767501803008,4.538655248677003,-7.0,34.0,-15.0,2.291767501803008,4.538655248677003,,
1,1,137,145,62,-47,-54.61157863530621,-7.611578635306209,-79,-79.003888986344,-0.003888986343994816,1,3,3,1,1,-7.611578635306209,-0.003888986343994816,-47.0,-55.0,28.0,7.611578635306209,0.003888986343994816,,
1,1,149,176,159,-59,-61.19775826197599,-2.1977582619759914,59,55.177519488133996,-3.8224805118660043,1,6,6,1,1,-2.1977582619759914,-3.8224805118660043,-59.0,-86.0,-69.0,2.1977582619759914,3.8224805118660043,,
1,1,58,50,105,32,37.3844261970231,5.384426197023103,25,22.9765580927575,-2.0234419072425,4,1,1,1,1,5.384426197023103,-2.0234419072425,32.0,40.0,-15.0,5.384426197023103,2.0234419072425,,
1,1,118,17,28,-28,-29.387227751750004,-1.3872277517500038,51,50.01979999453698,-0.9802000054630184,3,5,5,1,1,-1.3872277517500038,-0.9802000054630184,-28.0,73.0,62.0,1.3872277517500038,0.9802000054630184,,
1,1,50,150,90,40,27.1625193880121,-12.8374806119879,22,28.0179905719653,6.017990571965299,5,6,6,1,1,-12.8374806119879,6.017990571965299,40.0,-60.0,0.0,12.8374806119879,6.017990571965299,,
1,1,85,137,173,5,4.9507188104079995,-0.04928118959200045,16,15.7911641358356,-0.20883586416439925,1,6,6,1,1,-0.04928118959200045,-0.20883586416439925,5.0,-47.0,-83.0,0.04928118959200045,0.20883586416439925,,
1,1,172,18,34,-82,89.2985857027992,-8.701414297200813,-76,-76.580509446416,-0.5805094464160021,5,6,6,1,1,-8.701414297200813,-0.5805094464160021,-82.0,72.0,56.0,8.701414297200813,0.5805094464160021,,
1,1,70,77,80,20,50.133017474275704,30.133017474275704,36,34.8278626719972,-1.1721373280027976,5,2,2,1,1,30.133017474275704,-1.1721373280027976,20.0,13.0,10.0,30.133017474275704,1.1721373280027976,True,
1,1,130,27,147,-40,-42.235559751951,-2.2355597519510013,66,66.739963643354,0.7399636433540024,6,2,2,1,1,-2.2355597519510013,0.7399636433540024,-40.0,63.0,-57.0,2.2355597519510013,0.7399636433540024,,
